,Argument 1-Premise 1,Argument 1-Conclusion,Argument 2-Premise 1,Argument 2-Conclusion,GPT-3.5,GPT-4,GPT-3.5 (Unpaired),GPT-4 (Unpaired)
0,airplane,helicopter,helicopter,airplane,1.0,2.0,,
1,axe,knife,knife,axe,1.0,1.0,,
2,banjo,guitar,guitar,banjo,1.0,1.0,,
3,bass guitar,guitar,guitar,bass guitar,2.0,1.0,,
4,blouse,shirt,shirt,blouse,2.0,1.0,,
5,bumblebee,bee,bee,bumblebee,1.0,1.0,,
6,cello,double bass,double bass,cello,1.0,1.0,,
7,cello,violin,violin,cello,2.0,1.0,,
8,crocodile,alligator,alligator,crocodile,1.0,1.0,,
9,falcon,eagle,eagle,falcon,1.0,1.0,,
10,flute,pan flute,pan flute,flute,1.0,2.0,,
11,fruit fly,fly,fly,fruit fly,1.0,1.0,,
12,go-cart,car,car,go-cart,2.0,1.0,,
13,horse,donkey,donkey,horse,1.0,2.0,,
14,machine gun,pistol,pistol,machine gun,1.0,2.0,,
15,mouse,hamster,hamster,mouse,1.0,1.0,,
16,organ,piano,piano,organ,1.0,2.0,,
17,organ,synthesizer,synthesizer,organ,2.0,2.0,,
18,pants,jeans,jeans,pants,1.0,2.0,,
19,parakeet,canary,canary,parakeet,1.0,1.0,,
20,piano,synthesizer,synthesizer,piano,1.0,2.0,,
21,recorder,clarinet,clarinet,recorder,1.0,1.0,,
22,rhinoceros,hippopotamus,hippopotamus,rhinoceros,1.0,1.0,,
23,rifle,double barrelled shotgun,double barrelled shotgun,rifle,2.0,2.0,,
24,rifle,pistol,pistol,rifle,1.0,1.0,,
25,rooster,chicken,chicken,rooster,1.0,1.0,,
26,sardine,anchovy,anchovy,sardine,1.0,1.0,,
27,saxophone,trumpet,trumpet,saxophone,1.0,1.0,,
28,snake,boa,boa,snake,2.0,2.0,,
29,sparrow,chickadee,chickadee,sparrow,1.0,1.0,,
30,sparrow,robin,robin,sparrow,1.0,1.0,,
31,stork,heron,heron,stork,1.0,1.0,,
32,submarine,boat,boat,submarine,1.0,1.0,,
33,swan,duck,duck,swan,1.0,1.0,,
34,tiger,cat,cat,tiger,1.0,1.0,,
35,tiger,lion,lion,tiger,1.0,1.0,,
36,train,subway train,subway train,train,2.0,2.0,,
37,trombone,trumpet,trumpet,trombone,1.0,1.0,,
38,truck,car,car,truck,1.0,1.0,,
39,turkey,chicken,chicken,turkey,1.0,1.0,,
40,turtle,tortoise,tortoise,turtle,1.0,1.0,,
41,vulture,eagle,eagle,vulture,1.0,1.0,,
42,wasp,bee,bee,wasp,2.0,1.0,,
43,wasp,bumblebee,bumblebee,wasp,2.0,1.0,,
44,whale,orca,orca,whale,1.0,2.0,,
45,whale,sperm whale,sperm whale,whale,2.0,2.0,,
46,wolf,dog,dog,wolf,1.0,2.0,,
47,wolf,fox,fox,wolf,1.0,1.0,,
48,zebra,donkey,donkey,zebra,1.0,1.0,,
49,zebra,horse,horse,zebra,1.0,1.0,,
